2020-07-05,127.993
2020-07-06,127.993
2020-07-07,127.993
2020-07-08,127.993
2020-07-09,127.993
2020-07-10,127.993
2020-07-11,127.993
2020-07-12,127.993
2020-07-13,127.993
2020-07-14,127.993
2020-07-15,127.993
2020-07-16,127.993
2020-07-17,127.993
2020-07-18,127.993
2020-07-19,127.993
2020-07-20,127.993
2020-07-21,127.993
2020-07-22,127.993
2020-07-23,127.993
2020-07-24,127.993
2020-07-25,127.993
2020-07-26,127.993
2020-07-27,127.993
2020-07-28,127.993
2020-07-29,127.993
2020-07-30,127.993
2020-07-31,127.993
2020-08-01,127.993
2020-08-02,127.993
2020-08-03,127.993
2020-08-04,127.993
2020-08-05,127.993
2020-08-06,127.993
2020-08-07,127.993
2020-08-08,127.993
2020-08-09,127.993
2020-08-10,127.993
2020-08-11,127.993
2020-08-12,127.993
2020-08-13,127.993
2020-08-14,127.993
2020-08-15,127.993
2020-08-16,127.993
2020-08-17,127.993
2020-08-18,127.993
2020-08-19,127.993
2020-08-20,127.993
2020-08-21,127.993
2020-08-22,127.993
2020-08-23,127.993
2020-08-24,127.993
2020-08-25,127.993
2020-08-26,127.993
2020-08-27,127.993
2020-08-28,127.993
2020-08-29,127.993
2020-08-30,127.993
2020-08-31,127.993
2020-09-01,127.993
2020-09-02,127.993
2020-09-03,127.993
2020-09-04,127.993
2020-09-05,127.993
2020-09-06,127.993
2020-09-07,127.993
2020-09-08,127.993
2020-09-09,127.993
2020-09-10,127.993
2020-09-11,127.993
2020-09-12,127.993
2020-09-13,127.993
2020-09-14,127.993
2020-09-15,127.993
2020-09-16,127.993
2020-09-17,127.993
2020-09-18,127.993
2020-09-19,127.993
2020-09-20,127.993
2020-09-21,127.993
2020-09-22,127.993
2020-09-23,127.993
2020-09-24,127.993
2020-09-25,127.993
2020-09-26,127.993
2020-09-27,127.993
2020-09-28,127.993
2020-09-29,127.993
2020-09-30,127.993
2020-10-01,127.993
2020-10-02,127.993
2020-10-03,127.993
2020-10-04,127.993
2020-10-05,127.993
2020-10-06,127.993
2020-10-07,127.993
2020-10-08,127.993
2020-10-09,127.993
2020-10-10,127.993
2020-10-11,127.993
2020-10-12,127.993
2020-10-13,127.993
2020-10-14,127.993
2020-10-15,127.993
2020-10-16,127.993
2020-10-17,127.993
2020-10-18,127.993
2020-10-19,127.993
2020-10-20,127.993
2020-10-21,127.993
2020-10-22,127.993
2020-10-23,127.993
2020-10-24,127.993
2020-10-25,127.993
2020-10-26,127.993
2020-10-27,127.993
2020-10-28,127.993
2020-10-29,127.993
2020-10-30,127.993
2020-10-31,127.993
2020-11-01,127.993
2020-11-02,127.993
2020-11-03,127.993
2020-11-04,127.993
2020-11-05,127.993
2020-11-06,127.993
2020-11-07,127.993
2020-11-08,127.993
2020-11-09,127.993
2020-11-10,127.993
2020-11-11,127.993
2020-11-12,127.993
2020-11-13,127.993
2020-11-14,127.993
2020-11-15,127.993
2020-11-16,127.993
2020-11-17,127.993
2020-11-18,127.993
2020-11-19,127.993
2020-11-20,127.993
2020-11-21,127.993
2020-11-22,127.993
2020-11-23,127.993
2020-11-24,127.993
2020-11-25,127.993
2020-11-26,127.993
2020-11-27,127.993
2020-11-28,127.993
2020-11-29,127.993
2020-11-30,127.993
2020-12-01,127.993
2020-12-02,127.993
2020-12-03,127.993
2020-12-04,127.993
2020-12-05,127.993
2020-12-06,127.993
2020-12-07,127.993
2020-12-08,127.993
2020-12-09,127.993
2020-12-10,127.993
2020-12-11,127.993
2020-12-12,127.993
2020-12-13,127.993
2020-12-14,127.993
2020-12-15,127.993
2020-12-16,127.993
2020-12-17,127.993
2020-12-18,127.993
2020-12-19,127.993
2020-12-20,127.993
2020-12-21,127.993
2020-12-22,127.993
2020-12-23,127.993
2020-12-24,127.993
2020-12-25,127.993
2020-12-26,127.993
2020-12-27,127.993
2020-12-28,127.993
2020-12-29,127.993
2020-12-30,127.993
2020-12-31,127.993
2021-01-01,127.993
2021-01-02,127.993
2021-01-03,127.993
2021-01-04,127.993
2021-01-05,127.993
2021-01-06,127.993
2021-01-07,127.993
2021-01-08,127.993
