2020-07-05,586634.0
2020-07-06,586634.0
2020-07-07,586634.0
2020-07-08,586634.0
2020-07-09,586634.0
2020-07-10,586634.0
2020-07-11,586634.0
2020-07-12,586634.0
2020-07-13,586634.0
2020-07-14,586634.0
2020-07-15,586634.0
2020-07-16,586634.0
2020-07-17,586634.0
2020-07-18,586634.0
2020-07-19,586634.0
2020-07-20,586634.0
2020-07-21,586634.0
2020-07-22,586634.0
2020-07-23,586634.0
2020-07-24,586634.0
2020-07-25,586634.0
2020-07-26,586634.0
2020-07-27,586634.0
2020-07-28,586634.0
2020-07-29,586634.0
2020-07-30,586634.0
2020-07-31,586634.0
2020-08-01,586634.0
2020-08-02,586634.0
2020-08-03,586634.0
2020-08-04,586634.0
2020-08-05,586634.0
2020-08-06,586634.0
2020-08-07,586634.0
2020-08-08,586634.0
2020-08-09,586634.0
2020-08-10,586634.0
2020-08-11,586634.0
2020-08-12,586634.0
2020-08-13,586634.0
2020-08-14,586634.0
2020-08-15,586634.0
2020-08-16,586634.0
2020-08-17,586634.0
2020-08-18,586634.0
2020-08-19,586634.0
2020-08-20,586634.0
2020-08-21,586634.0
2020-08-22,586634.0
2020-08-23,586634.0
2020-08-24,586634.0
2020-08-25,586634.0
2020-08-26,586634.0
2020-08-27,586634.0
2020-08-28,586634.0
2020-08-29,586634.0
2020-08-30,586634.0
2020-08-31,586634.0
2020-09-01,586634.0
2020-09-02,586634.0
2020-09-03,586634.0
2020-09-04,586634.0
2020-09-05,586634.0
2020-09-06,586634.0
2020-09-07,586634.0
2020-09-08,586634.0
2020-09-09,586634.0
2020-09-10,586634.0
2020-09-11,586634.0
2020-09-12,586634.0
2020-09-13,586634.0
2020-09-14,586634.0
2020-09-15,586634.0
2020-09-16,586634.0
2020-09-17,586634.0
2020-09-18,586634.0
2020-09-19,586634.0
2020-09-20,586634.0
2020-09-21,586634.0
2020-09-22,586634.0
2020-09-23,586634.0
2020-09-24,586634.0
2020-09-25,586634.0
2020-09-26,586634.0
2020-09-27,586634.0
2020-09-28,586634.0
2020-09-29,586634.0
2020-09-30,586634.0
2020-10-01,586634.0
2020-10-02,586634.0
2020-10-03,586634.0
2020-10-04,586634.0
2020-10-05,586634.0
2020-10-06,586634.0
2020-10-07,586634.0
2020-10-08,586634.0
2020-10-09,586634.0
2020-10-10,586634.0
2020-10-11,586634.0
2020-10-12,586634.0
2020-10-13,586634.0
2020-10-14,586634.0
2020-10-15,586634.0
2020-10-16,586634.0
2020-10-17,586634.0
2020-10-18,586634.0
2020-10-19,586634.0
2020-10-20,586634.0
2020-10-21,586634.0
2020-10-22,586634.0
2020-10-23,586634.0
2020-10-24,586634.0
2020-10-25,586634.0
2020-10-26,586634.0
2020-10-27,586634.0
2020-10-28,586634.0
2020-10-29,586634.0
2020-10-30,586634.0
2020-10-31,586634.0
2020-11-01,586634.0
2020-11-02,586634.0
2020-11-03,586634.0
2020-11-04,586634.0
2020-11-05,586634.0
2020-11-06,586634.0
2020-11-07,586634.0
2020-11-08,586634.0
2020-11-09,586634.0
2020-11-10,586634.0
2020-11-11,586634.0
2020-11-12,586634.0
2020-11-13,586634.0
2020-11-14,586634.0
2020-11-15,586634.0
2020-11-16,586634.0
2020-11-17,586634.0
2020-11-18,586634.0
2020-11-19,586634.0
2020-11-20,586634.0
2020-11-21,586634.0
2020-11-22,586634.0
2020-11-23,586634.0
2020-11-24,586634.0
2020-11-25,586634.0
2020-11-26,586634.0
2020-11-27,586634.0
2020-11-28,586634.0
2020-11-29,586634.0
2020-11-30,586634.0
2020-12-01,586634.0
2020-12-02,586634.0
2020-12-03,586634.0
2020-12-04,586634.0
2020-12-05,586634.0
2020-12-06,586634.0
2020-12-07,586634.0
2020-12-08,586634.0
2020-12-09,586634.0
2020-12-10,586634.0
2020-12-11,586634.0
2020-12-12,586634.0
2020-12-13,586634.0
2020-12-14,586634.0
2020-12-15,586634.0
2020-12-16,586634.0
2020-12-17,586634.0
2020-12-18,586634.0
2020-12-19,586634.0
2020-12-20,586634.0
2020-12-21,586634.0
2020-12-22,586634.0
2020-12-23,586634.0
2020-12-24,586634.0
2020-12-25,586634.0
2020-12-26,586634.0
2020-12-27,586634.0
2020-12-28,586634.0
2020-12-29,586634.0
2020-12-30,586634.0
2020-12-31,586634.0
2021-01-01,586634.0
2021-01-02,586634.0
2021-01-03,586634.0
2021-01-04,586634.0
2021-01-05,586634.0
2021-01-06,586634.0
2021-01-07,586634.0
2021-01-08,586634.0
