2020-06-23,11.0
2020-06-24,11.0
2020-06-25,11.0
2020-06-26,11.0
2020-06-27,11.0
2020-06-28,11.0
2020-06-29,11.0
2020-06-30,11.0
2020-07-01,11.0
2020-07-02,11.0
2020-07-03,11.0
2020-07-04,11.0
2020-07-05,11.0
2020-07-06,11.0
2020-07-07,11.0
2020-07-08,11.0
2020-07-09,11.0
2020-07-10,11.0
2020-07-11,11.0
2020-07-12,11.0
2020-07-13,11.0
2020-07-14,11.0
2020-07-15,11.0
2020-07-16,11.0
2020-07-17,11.0
2020-07-18,11.0
2020-07-19,11.0
2020-07-20,11.0
2020-07-21,11.0
2020-07-22,11.0
2020-07-23,11.0
2020-07-24,11.0
2020-07-25,11.0
2020-07-26,11.0
2020-07-27,11.0
2020-07-28,11.0
2020-07-29,11.0
2020-07-30,11.0
2020-07-31,11.0
2020-08-01,11.0
2020-08-02,11.0
2020-08-03,11.0
2020-08-04,11.0
2020-08-05,11.0
2020-08-06,11.0
2020-08-07,11.0
2020-08-08,11.0
2020-08-09,11.0
2020-08-10,11.0
2020-08-11,11.0
2020-08-12,11.0
2020-08-13,11.0
2020-08-14,11.0
2020-08-15,11.0
2020-08-16,11.0
2020-08-17,11.0
2020-08-18,11.0
2020-08-19,11.0
2020-08-20,11.0
2020-08-21,11.0
2020-08-22,11.0
2020-08-23,11.0
2020-08-24,11.0
2020-08-25,11.0
2020-08-26,11.0
2020-08-27,11.0
2020-08-28,11.0
2020-08-29,11.0
2020-08-30,11.0
2020-08-31,11.0
2020-09-01,11.0
2020-09-02,11.0
2020-09-03,11.0
2020-09-04,11.0
2020-09-05,11.0
2020-09-06,11.0
2020-09-07,11.0
2020-09-08,11.0
2020-09-09,11.0
2020-09-10,11.0
2020-09-11,11.0
2020-09-12,11.0
2020-09-13,11.0
2020-09-14,11.0
2020-09-15,11.0
2020-09-16,11.0
2020-09-17,11.0
2020-09-18,11.0
2020-09-19,11.0
2020-09-20,11.0
2020-09-21,11.0
2020-09-22,11.0
2020-09-23,11.0
2020-09-24,11.0
2020-09-25,11.0
2020-09-26,11.0
2020-09-27,11.0
2020-09-28,11.0
2020-09-29,11.0
2020-09-30,11.0
2020-10-01,11.0
2020-10-02,11.0
2020-10-03,11.0
2020-10-04,11.0
2020-10-05,11.0
2020-10-06,11.0
2020-10-07,11.0
2020-10-08,11.0
2020-10-09,11.0
2020-10-10,11.0
2020-10-11,11.0
2020-10-12,11.0
2020-10-13,11.0
2020-10-14,11.0
2020-10-15,11.0
2020-10-16,11.0
2020-10-17,11.0
2020-10-18,11.0
2020-10-19,11.0
2020-10-20,11.0
2020-10-21,11.0
2020-10-22,11.0
2020-10-23,11.0
2020-10-24,11.0
2020-10-25,11.0
2020-10-26,11.0
2020-10-27,11.0
2020-10-28,11.0
2020-10-29,11.0
2020-10-30,11.0
2020-10-31,11.0
2020-11-01,11.0
2020-11-02,11.0
2020-11-03,11.0
2020-11-04,11.0
2020-11-05,11.0
2020-11-06,11.0
2020-11-07,11.0
2020-11-08,11.0
2020-11-09,11.0
2020-11-10,11.0
2020-11-11,11.0
2020-11-12,11.0
2020-11-13,11.0
2020-11-14,11.0
2020-11-15,11.0
2020-11-16,11.0
2020-11-17,11.0
2020-11-18,11.0
2020-11-19,11.0
2020-11-20,11.0
2020-11-21,11.0
2020-11-22,11.0
2020-11-23,11.0
2020-11-24,11.0
2020-11-25,11.0
2020-11-26,11.0
2020-11-27,11.0
2020-11-28,11.0
2020-11-29,11.0
2020-11-30,11.0
2020-12-01,11.0
2020-12-02,11.0
2020-12-03,11.0
2020-12-04,11.0
2020-12-05,11.0
2020-12-06,11.0
2020-12-07,11.0
2020-12-08,11.0
2020-12-09,11.0
2020-12-10,11.0
2020-12-11,11.0
2020-12-12,11.0
2020-12-13,11.0
2020-12-14,11.0
2020-12-15,11.0
2020-12-16,11.0
2020-12-17,11.0
2020-12-18,11.0
2020-12-19,11.0
2020-12-20,11.0
2020-12-21,11.0
2020-12-22,11.0
2020-12-23,11.0
2020-12-24,11.0
2020-12-25,11.0
2020-12-26,11.0
2020-12-27,11.0
2020-12-28,11.0
2020-12-29,11.0
2020-12-30,11.0
2020-12-31,11.0
2021-01-01,11.0
2021-01-02,11.0
2021-01-03,11.0
2021-01-04,11.0
2021-01-05,11.0
2021-01-06,11.0
2021-01-07,11.0
2021-01-08,11.0
